Open,High,Low,Close,Volume,Date
25.7941,25.9114,25.7129,25.8753,112000,1994-07-04
25.7761,25.8844,25.6858,25.8392,174800,1994-07-05
25.8392,25.9475,25.8122,25.9475,66700,1994-07-06
25.7851,25.9836,25.7761,25.9385,148400,1994-07-07
25.9566,26.0017,25.7219,25.8483,124000,1994-07-10
25.8573,25.8934,25.7129,25.8844,257300,1994-07-11
25.8934,26.0107,25.8934,25.9295,532700,1994-07-12
26.0558,26.2634,26.0378,26.2093,494200,1994-07-13
26.1912,26.2725,26.1822,26.2183,49100,1994-07-14
26.2183,26.3266,26.2183,26.2634,72300,1994-07-17
26.3086,26.3176,26.2093,26.2093,609500,1994-07-18
26.2273,26.2273,26.0288,26.0919,185300,1994-07-19
26.0919,26.1641,26.0378,26.1461,86300,1994-07-20
26.2093,26.2273,26.1371,26.1912,151600,1994-07-21
26.2003,26.2544,26.1732,26.2273,120900,1994-07-24
26.2183,26.2364,26.1732,26.2003,489600,1994-07-25
26.2003,26.2003,26.2003,26.2003,83200,1994-07-26
26.2003,26.3266,26.2003,26.2544,828200,1994-07-27
26.4349,26.5974,26.4259,26.5161,459100,1994-07-28
26.5342,26.6606,26.5071,26.6425,486300,1994-07-31
26.7328,26.7869,26.5884,26.6786,505500,1994-08-01
26.6696,26.7057,26.6245,26.6876,144100,1994-08-02
26.6696,26.6967,26.5252,26.5342,231700,1994-08-03
26.3988,26.48,26.3717,26.4439,138400,1994-08-04
26.471,26.5342,26.4439,26.5071,328600,1994-08-07
26.4078,26.5523,26.4078,26.5523,105900,1994-08-08
26.5703,26.6786,26.5342,26.6515,840300,1994-08-09
26.5884,26.7057,26.4169,26.5523,876200,1994-08-10
26.5974,26.7689,26.5974,26.7598,184100,1994-08-11
26.7869,26.8501,26.7508,26.7508,325900,1994-08-14
26.7689,26.9674,26.6606,26.9403,1089500,1994-08-15
26.9765,26.9945,26.9042,26.9223,133700,1994-08-16
26.832,26.832,26.832,26.832,620000,1994-08-17
26.8411,26.8681,26.7508,26.814,103200,1994-08-18
26.823,26.823,26.7328,26.7869,79700,1994-08-21
26.9042,27.0667,26.8681,26.9403,268600,1994-08-22
26.9674,27.2292,26.9584,27.2292,254700,1994-08-23
27.2021,27.2653,27.0848,27.157,147400,1994-08-24
27.2201,27.5992,27.2201,27.5451,339500,1994-08-25
27.6173,27.7165,27.518,27.527,350300,1994-08-28
27.518,27.6443,27.4819,27.5992,36000,1994-08-29
27.5541,27.6624,27.4909,27.527,356200,1994-08-30
27.4368,27.4368,27.4368,27.4368,294600,1994-08-31
27.5631,27.5631,27.2743,27.3194,99600,1994-09-01
27.3014,27.3555,27.2201,27.3285,229800,1994-09-05
27.3916,27.3916,27.2743,27.3014,27900,1994-09-06
27.3555,27.4729,27.3465,27.4368,284800,1994-09-07
27.166,27.2201,27.0396,27.1479,488400,1994-09-08
27.1479,27.184,27.0216,27.0667,129400,1994-09-11
27.1209,27.2201,27.0667,27.1479,389200,1994-09-12
27.0577,27.2111,27.0577,27.175,423500,1994-09-13
27.2472,27.518,27.2472,27.518,779800,1994-09-14
27.3142,27.31875,27.31875,27.3233,571300,1994-09-15
27.3869,27.5049,27.3233,27.3506,167300,1994-09-18
27.2053,27.2325,26.8329,26.8329,355600,1994-09-19
26.9147,26.9147,26.5787,26.8329,397500,1994-09-20
26.8965,26.8965,26.7422,26.7694,266400,1994-09-21
26.7785,26.8329,26.6332,26.6786,176600,1994-09-22
26.7785,26.8329,26.724,26.8148,223000,1994-09-25
26.8148,26.8874,26.7331,26.7966,479500,1994-09-26
26.9419,27.0418,26.9238,27.0055,324000,1994-09-27
27.0055,27.0055,26.7875,26.8693,195900,1994-09-28
26.8602,26.9873,26.8329,26.8329,5200,1994-09-29
26.8511,26.8784,26.724,26.7694,72600,1994-10-02
26.9056,26.9056,26.3517,26.3699,84200,1994-10-03
26.3244,26.3789,26.1519,26.3789,461900,1994-10-04
26.3971,26.4153,26.2518,26.2972,345200,1994-10-05
26.2972,26.4879,26.27,26.4153,188700,1994-10-06
26.5333,26.7422,26.5242,26.6968,213600,1994-10-09
26.8148,27.169,26.8148,27.0963,461400,1994-10-10
27.1326,27.1326,27.1326,27.1326,162400,1994-10-11
27.4413,27.5049,27.1962,27.2234,1564500,1994-10-12
27.3142,27.3506,27.1326,27.3414,72800,1994-10-13
27.3142,27.3506,27.2597,27.287,282300,1994-10-16
27.2597,27.2597,27.1326,27.2234,132100,1994-10-17
27.1235,27.4504,27.1144,27.3506,136700,1994-10-18
27.3506,27.3506,27.0872,27.169,290300,1994-10-19
27.0963,27.1326,26.9419,27.06,87800,1994-10-20
27.0691,27.178,26.8239,26.8329,149600,1994-10-23
26.7422,26.9147,26.7331,26.8602,91800,1994-10-24
26.9601,26.9601,26.9601,26.9601,201000,1994-10-25
27.06,27.1235,26.9964,27.1235,210300,1994-10-26
27.178,27.7229,27.178,27.6956,192100,1994-10-27
27.632,27.6593,27.5866,27.5957,36300,1994-10-30
27.4777,27.4777,27.2779,27.287,435200,1994-10-31
27.2053,27.4504,27.1326,27.1326,115600,1994-11-01
27.2234,27.3233,27.1871,27.2779,87000,1994-11-02
27.405,27.405,26.9238,26.9238,124400,1994-11-03
26.9873,27.0781,26.9147,27.0055,115000,1994-11-06
27.0963,27.3051,27.0509,27.2143,308300,1994-11-07
27.5049,27.5049,27.0237,27.2597,318500,1994-11-08
27.2779,27.3324,27.0509,27.0691,172100,1994-11-09
27.0327,27.06,26.8965,26.9692,302200,1994-11-10
27.0872,27.2325,27.0872,27.2234,181400,1994-11-13
27.1962,27.3687,26.9238,27.1326,316900,1994-11-14
27.178,27.2234,27.0872,27.2234,106900,1994-11-15
27.2416,27.2416,26.9328,27.0418,104700,1994-11-16
27.0509,27.0963,26.8874,27.0055,269300,1994-11-17
26.9873,27.0691,26.7331,26.7331,283100,1994-11-20
26.6332,26.7331,26.1519,26.1519,483600,1994-11-21
26.1701,26.3063,25.9249,26.2972,601600,1994-11-22
26.3154,26.4606,26.3154,26.4243,77300,1994-11-24
26.4153,26.5515,26.3517,26.5424,79900,1994-11-27
26.5333,26.5333,26.5333,26.5333,105500,1994-11-28
26.6695,26.7058,26.497,26.497,218800,1994-11-29
26.5242,26.5242,26.1791,26.2336,439000,1994-11-30
